type	fold	acc	iou	dice
small	1	95.79	80.50	92.26
small	2	96.74	81.98	93.72
small	3	96.61	82.22	93.04
small	4	96.82	82.23	94.63
small	5	97.23	82.50	95.08
middle	1	95.94	80.91	92.73
middle	2	96.83	82.19	93.61
middle	3	96.65	82.26	93.63
middle	4	96.17	82.20	94.32
middle	5	97.31	82.61	95.84
large	1	95.67	80.52	93.01
large	2	96.87	82.21	93.99
large	3	96.57	82.10	93.07
large	4	96.78	82.52	95.31
large	5	97.26	82.52	94.91
inc	1	96.12	81.16	93.07
inc	2	96.47	81.32	92.97
inc	3	96.70	82.28	93.91
inc	4	96.48	81.77	93.98
inc	5	97.50	82.01	94.88
